"TITLE_ID","PERSON_ID","PERSON_ROLE"
33165328,11288339,"writer"
3316584,212137,"director"
3317000,6113355,"actress"
3317310,1883583,"director"
3317310,6052188,"writer"
3317382,3351803,"composer"
33175825,436778,"actor"
3317594,865135,"director"
3317696,2369789,"actor"
3317710,6339389,"actress"
3317728,2363508,"cinematographer"
3317750,6071387,"actor"
3317776,3660036,"actress"
3317874,3555383,"composer"
3318052,1779186,"actress"
3318094,6071656,"actor"
3318124,5019164,"actress"
33183831,590819,"actor"
33183847,16446740,"actor"
33183885,16446840,"producer"
33183915,3242761,"actor"
33184748,16448100,"producer"
33187391,16351444,"cinematographer"
33189470,16448555,"actor"
3319018,1729102,"writer"
33190415,12501006,"composer"
3319070,3725157,"production_designer"
33193262,11731331,"actor"
3319508,194125,"cinematographer"
33197724,11783782,"writer"
3320132,3349072,"actor"
33201388,15307931,"director"
33201730,16629081,"composer"
33201732,6334729,"actor"
33202240,12601180,"actor"
33202240,1274461,"actor"
3320276,5580273,"producer"
33203446,215842,"producer"
33203493,1317229,"cinematographer"
33203670,13609931,"editor"
33203909,463805,"director"
33204369,16451509,"actor"
33204413,14595447,"director"
3320546,1568234,"producer"
33213629,10006366,"cinematographer"
33215243,16452274,"actress"
33216850,16444322,"actor"
3321770,827093,"actress"
3322364,1481618,"writer"
33224757,12919644,"editor"
3322920,32524,"self"
3323000,2118339,"self"
3323026,3986518,"actress"
3323304,13511149,"actor"
33235979,16452922,"writer"
33239968,10559667,"actress"
33240469,891572,"writer"
33240681,522892,"editor"
33240763,92647,"archive_footage"
33241014,14909449,"actor"
33241225,1428051,"director"
33241598,10057892,"cinematographer"
33241902,3088963,"editor"
33242019,161870,"director"
33244550,1799844,"producer"
33244637,13942930,"editor"
33244668,628601,"actress"
33244748,12727770,"cinematographer"
33244849,3761498,"composer"
3324570,3247679,"actor"
33245886,1127253,"actor"
33245905,10118054,"production_designer"
3324612,2371539,"writer"
33246481,4002599,"actor"
33246597,4029706,"actress"
33246651,6641850,"producer"
33246853,16456551,"actor"
33246860,16457830,"cinematographer"
3324702,2972939,"cinematographer"
3325098,3569256,"writer"
3325108,438247,"self"
33253040,14849054,"actress"
33253062,1698743,"actor"
33253232,4972795,"composer"
33253617,1082784,"director"
3325392,1390391,"composer"
3325486,6056539,"producer"
33255214,16460509,"writer"
33256321,16461299,"actor"
33256341,4175299,"editor"
33256622,4485433,"writer"
33256622,16373617,"cinematographer"
33257086,2255149,"actor"
3325720,3873382,"director"
3326038,6080563,"actress"
33262598,16463697,"actress"
3326366,5689361,"self"
33264603,15527942,"actor"
